,ID,Year,Sector,Subsector,City,County,Total_Emissions,Biogenic_CO2_Emissions,CO2_Emissions,Methane_Emissions,Nitrous_Oxide_Emissions,HFCs_Emissions,PFCs_Emissions,SF6_Emissions,Fluorinated_Emissions,Geocoded_Location
676,677,2018,Natural Gas Systems,Natural Gas Transmission/Compression,Goldendale,Klickitat,22440,0,20166,2263,11,0,0,0,0,POINT (-120.799267 45.771216)
677,678,2015,Food Production,Potato Products,Pasco,Franklin,48163,0,48113,23,27,0,0,0,0,POINT (-119.115336 46.288137)
678,679,2015,Petroleum Systems,Other Petroleum Systems,Anacortes,Skagit,64385,0,64385,0,0,0,0,0,0,POINT (-122.556032 48.465617)
679,680,2017,Power Plants,"Other Power, Heating, or Cooling Plants",Maple Valley,King,28310,26824,1344,42,100,0,0,0,0,POINT (-122.041817 47.455871)
680,681,2019,Supplier,Natural Gas Supplier,Portland,Clark,482497,0,481999,227,271,0,0,0,0,POINT (-122.041817 47.455871)
681,682,2018,Wood Products,Lumber Mills,Morton,Lewis,36720,36233,2,70,415,0,0,0,0,POINT (-122.269573 46.565997)
682,683,2021,Manufacturing,Transportation Industry,Seattle,King,20945,0,20923,10,12,0,0,0,0,POINT (-122.311623 47.532524)
683,684,2013,Wood Products,Lumber Mills,Raymond,Pacific,44919,44327,0,85,507,0,0,0,0,POINT (-123.737495 46.688088)
684,685,2016,Government,Other Government,Seattle,King,13891,0,13876,7,8,0,0,0,0,POINT (-122.302452 47.443643)
685,686,2016,Petroleum Systems,Other Petroleum Systems,Seattle,King,14096,0,14069,19,8,0,0,0,0,POINT (-122.395299 47.781642)
686,687,2014,Petroleum Systems,Other Petroleum Systems,Anacortes,Skagit,53751,0,53751,0,0,0,0,0,0,POINT (-122.554343 48.467646)
687,688,2020,Food Production,Meat Products,Tacoma,Pierce,9954,0,9943,5,6,0,0,0,0,POINT (-122.406461 47.250503)
688,689,2018,Waste,Landfills,Ephrata,Grant,47089,0,0,47089,0,0,0,0,0,POINT (-119.573764 47.270759)
689,690,2020,Waste,Landfills,Richland,Benton,27329,0,0,27329,0,0,0,0,0,POINT (-119.348118 46.346663)
690,691,2015,Manufacturing,Transportation Industry,Auburn,King,36058,0,36021,17,20,0,0,0,0,POINT (-122.242298 47.285551)
691,692,2019,Government,National Security,Joint Base Lewis-McChord,Pierce,74601,0,57927,16640,34,0,0,0,0,POINT (-122.5365 47.1142)
692,693,2012,Manufacturing,Transportation Industry,Everett,Snohomish,71463,0,71389,34,40,0,0,0,0,POINT (-122.276987 47.918622)
693,694,2016,Pulp and Paper,Other Pulp and Paper,Sumner,Pierce,13942,0,13927,7,8,0,0,0,0,POINT (-122.239474 47.210641)
694,695,2016,Manufacturing,Transportation Industry,Tukwila,King,14859,0,14844,7,8,0,0,0,0,POINT (-122.298613 47.516246)
695,696,2018,Chemicals,Other Chemicals,Elma,Grays Harbor,21915,0,21893,10,12,0,0,0,0,POINT (-123.382316 46.995459)
696,697,2016,Power Plants,"Other Power, Heating, or Cooling Plants",Maple Valley,King,29129,27370,1612,44,103,0,0,0,0,POINT (-122.041817 47.455871)
697,698,2018,Food Production,Dairy Products,Chehalis,Lewis,11794,0,11781,6,7,0,0,0,0,POINT (-122.970162 46.659952)
698,699,2018,Government,Education,Ellensburg,Kittitas,13486,0,13471,7,8,0,0,0,0,POINT (-120.544513 47.003202)
699,700,2021,Livestock,Cattle Feedlots,Burbank,Walla Walla,39057,0,1480,2928,34649,0,0,0,0,POINT (-118.90629 46.133131)
700,701,2013,Natural Gas Systems,Natural Gas Local Distribution Companies,Spokane,Spokane,15198,0,18,15180,0,0,0,0,0,POINT (-118.90629 46.133131)
701,702,2015,Power Plants,"Other Power, Heating, or Cooling Plants",Seattle,King,70985,1847,69042,36,60,0,0,0,0,POINT (-122.340179 47.6068)
702,703,2012,Power Plants,Natural Gas Turbine Plants,Vancouver,Clark,327202,0,326869,152,181,0,0,0,0,POINT (-122.724806 45.64958)
703,704,2016,Food Production,Potato Products,Othello,Adams,67669,0,36830,30818,21,0,0,0,0,POINT (-119.172705 46.840102)
704,705,2014,Chemicals,Fertilizer Production,Kennewick,Benton,132071,0,8250,0,123821,0,0,0,0,POINT (-119.017218 46.165957)
705,706,2021,Power Plants,Natural Gas Turbine Plants,Ferndale,Whatcom,637260,0,636613,295,352,0,0,0,0,POINT (-122.685533 48.828707)
706,707,2015,Natural Gas Systems,Natural Gas Transmission/Compression,Sumas,Whatcom,109422,0,104002,5362,58,0,0,0,0,POINT (-122.2214 49.001)
707,708,2021,Wood Products,Lumber Mills,Bingen,Klickitat,85957,84728,97,163,969,0,0,0,0,POINT (-121.468688 45.713913)
708,709,2017,Power Plants,Natural Gas Turbine Plants,Chehalis,Lewis,727164,0,726426,337,401,0,0,0,0,POINT (-122.9145 46.6226)
709,710,2018,Pulp and Paper,Other Pulp and Paper,Spokane,Spokane,28859,17716,10895,39,209,0,0,0,0,POINT (-117.279323 47.688295)
710,711,2015,Food Production,Dairy Products,Sunnyside,Yakima,21371,0,21349,10,12,0,0,0,0,POINT (-120.015675 46.30058)
711,712,2019,Pulp and Paper,Other Pulp and Paper,Port Angeles,Clallam,4044,0,0,4044,0,0,0,0,0,POINT (-123.467524 48.134623)
712,713,2016,Supplier,Natural Gas Supplier,Kennewick,Benton,1610253,0,1608592,758,903,0,0,0,0,POINT (-119.22987 46.21875)
713,714,2013,Minerals,Lime Production,Tacoma,Pierce,92863,0,92723,53,87,0,0,0,0,POINT (-122.397262 47.271365)
714,715,2016,Pulp and Paper,Sulfite Mills,Cosmopolis,Grays Harbor,541030,513480,21136,4408,2006,0,0,0,0,POINT (-123.76211 46.952907)
715,716,2018,Natural Gas Systems,Natural Gas Transmission/Compression,Mount Vernon,Skagit,56715,0,54226,2459,30,0,0,0,0,POINT (-122.21547 48.421967)
716,717,2020,Wood Products,Lumber Mills,Clarkston,Whitman,14289,14101,0,27,161,0,0,0,0,POINT (-117.086487 46.423108)
717,718,2017,Government,Education,Pullman,Whitman,65446,0,65377,31,38,0,0,0,0,POINT (-117.151481 46.728702)
718,719,2016,Food Production,Potato Products,Moses Lake,Grant,34812,3651,27025,4108,28,0,0,0,0,POINT (-119.18926 47.131732)
719,720,2019,Waste,Landfills,Graham,Pierce,271964,0,0,271964,0,0,0,0,0,POINT (-122.292799 46.972405)
720,721,2019,Pulp and Paper,Other Pulp and Paper,Usk,Pend Oreille,43797,39882,3368,81,466,0,0,0,0,POINT (-117.271359 48.289771)
721,722,2014,Power Plants,Electrical Transmission and Distribution,Bellevue,King,1664,0,0,0,0,0,0,1664,0,POINT (-122.19454 47.61345)
722,723,2019,Wood Products,Lumber Mills,Mount Vernon,Skagit,307534,300773,2740,579,3442,0,0,0,0,POINT (-122.434613 48.448553)
723,724,2019,Power Plants,"Other Power, Heating, or Cooling Plants",Graham,Pierce,17639,17549,0,27,63,0,0,0,0,POINT (-122.290871 46.975533)
724,725,2020,Pulp and Paper,Kraft Mills,Wallula,Walla Walla,828596,630030,182948,14169,1449,0,0,0,0,POINT (-118.9184 46.10396)
725,726,2018,Food Production,Fruit Products,Selah,Yakima,19784,0,19764,9,11,0,0,0,0,POINT (-120.52755 46.64992)
726,727,2017,Wood Products,Lumber Mills,Darrington,Snohomish,87332,86180,0,166,986,0,0,0,0,POINT (-121.597608 48.262797)
727,728,2016,Power Plants,Natural Gas Turbine Plants,Bellingham,Whatcom,103712,0,103607,48,57,0,0,0,0,POINT (-122.486 48.746)
728,729,2016,Metals,Other Metals,Moses Lake,Grant,59434,0,59373,28,33,0,0,0,0,POINT (-119.200383 47.138359)
729,730,2019,Manufacturing,Building Products,Tacoma,Pierce,15821,0,15804,8,9,0,0,0,0,POINT (-122.364656 47.092145)
730,731,2019,Government,Education,Seattle,King,92273,0,92177,44,52,0,0,0,0,POINT (-122.303608 47.653614)
731,732,2021,Minerals,Glass Production,Kalama,Cowlitz,26529,0,26510,9,10,0,0,0,0,POINT (-122.866241 46.031656)
732,733,2021,Supplier,Natural Gas Supplier,Bellevue,King,5603774,0,5597992,2638,3144,0,0,0,0,POINT (-122.19454 47.61345)
733,734,2017,Food Production,Other Food Products,Vancouver,Clark,17689,0,17671,8,10,0,0,0,0,POINT (-122.690043 45.631069)
734,735,2020,Natural Gas Systems,Natural Gas Transmission/Compression,Sumner,Pierce,9603,0,9167,431,5,0,0,0,0,POINT (-122.209551 47.228986)
735,736,2014,Metals,Other Metals,Moses Lake,Grant,120817,0,120692,57,68,0,0,0,0,POINT (-119.200383 47.138359)
736,737,2017,Petroleum Systems,Petroleum Refineries,Anacortes,Skagit,1359656,0,1353878,2293,3485,0,0,0,0,POINT (-122.564845 48.493816)
737,738,2018,Food Production,Potato Products,Othello,Adams,61901,0,36883,24997,21,0,0,0,0,POINT (-119.172705 46.840102)
738,739,2021,Waste,Landfills,Puyallup,Pierce,5080,0,0,5080,0,0,0,0,0,POINT (-122.2878 47.095)
739,740,2021,Food Production,Potato Products,Moses Lake,Grant,32411,6452,20573,5351,35,0,0,0,0,POINT (-119.18926 47.131732)
740,741,2012,Food Production,Potato Products,Pasco,Franklin,48326,0,48276,23,27,0,0,0,0,POINT (-119.115336 46.288137)
741,742,2012,Wood Products,Lumber Mills,Mount Vernon,Skagit,12634,8698,3742,76,118,0,0,0,0,POINT (-122.443028 48.451642)
742,743,2013,Natural Gas Systems,Natural Gas Transmission/Compression,Snohomish,Snohomish,33174,0,32566,590,18,0,0,0,0,POINT (-122.05859 47.78825)
